PROGNAME,VARIANT,ARGS,HOSTNAME,RUNID,THREADS,DATETIME,MINTIME,MEDIANTIME,MAXTIME,MINTIME_PRODUCTIVITY,MEDIANTIME_PRODUCTIVITY,MAXTIME_PRODUCTIVITY,ALLTIMES,TRIALS,COMPILER,COMPILE_FLAGS,RUNTIME_FLAGS,ENV_VARS,BENCH_VERSION,BENCH_FILE,UNAME,PROCESSOR,TOPOLOGY,GIT_BRANCH,GIT_HASH,GIT_DEPTH,WHO,ETC_ISSUE,LSPCI,FULL_LOG
bfs_lvish,none,bfsN_barrier_misI_work rmat 200000 20.0,chert,chert_1373558168,2,2013-07-11 16:50:36.569569 UTC,3.045539,3.051079,3.062799,Just (-46.92737430167597),Just (-43.57541899441338),Just (-51.955307262569846),3.045539 3.062799 3.051079,3,,,,[[]],0.0,,Linux chert.soic.ind,,,master,456d68622503bc964d19e5bb845d84a204281ea7,562,rrnewton pts/0      ,,,
bfs_lvish,none,bfsN_barrier_misI_work grid 171429 25.0,chert,chert_1373558168,2,2013-07-11 16:52:47.568595 UTC,1.853798,1.860687,1.866105,Just (-61.22448979591837),Just (-46.46464646464645),Just (-51.0),1.853798 1.866105 1.860687,3,,,,[[]],0.0,,Linux chert.soic.ind,,,master,456d68622503bc964d19e5bb845d84a204281ea7,562,rrnewton pts/0      ,,,
bfs_lvish,none,misI_work rmat 600000 0.0,chert,chert_1373558168,4,2013-07-11 16:54:07.078282 UTC,2.924861,2.962495,3.103858,Just (-106.27802690582956),Just (-111.84210526315792),Just (-115.63786008230451),2.924861 2.962495 3.103858,3,,,,[[]],0.0,,Linux chert.soic.ind,,,master,456d68622503bc964d19e5bb845d84a204281ea7,562,rrnewton pts/0      ,,,
bfs_lvish,none,misI_work grid 600000 0.0,chert,chert_1373558168,4,2013-07-11 16:54:46.467021 UTC,1.446312,1.476505,1.512059,Just (-157.65765765765758),Just (-152.7272727272727),Just (-155.4621848739496),1.512059 1.476505 1.446312,3,,,,[[]],0.0,,Linux chert.soic.ind,,,master,456d68622503bc964d19e5bb845d84a204281ea7,562,rrnewton pts/0      ,,,
bfs_lvish,none,misI_work grid 500000 2.0,chert,chert_1373558168,1,2013-07-11 16:57:17.598543 UTC,2.437884,2.440296,2.443558,Just 6.756756756756772,Just 7.432432432432421,Just 10.810810810810807,2.440296 2.437884 2.443558,3,,,,[[]],0.0,,Linux chert.soic.ind,,,master,456d68622503bc964d19e5bb845d84a204281ea7,562,rrnewton pts/0      ,,,
bfs_lvish,none,misI_work grid 400000 5.0,chert,chert_1373558168,1,2013-07-11 16:58:38.443986 UTC,2.37751,2.37764,2.379293,Just 9.016393442622942,Just 9.016393442622942,Just 9.016393442622942,2.37764 2.379293 2.37751,3,,,,[[]],0.0,,Linux chert.soic.ind,,,master,456d68622503bc964d19e5bb845d84a204281ea7,562,rrnewton pts/0      ,,,
bfs_lvish,none,misI_work rmat 300000 10.0,chert,chert_1373558168,2,2013-07-11 16:59:34.050176 UTC,2.573606,2.574065,2.581201,Just (-76.85185185185185),Just (-54.20560747663549),Just (-77.77777777777777),2.573606 2.574065 2.581201,3,,,,[[]],0.0,,Linux chert.soic.ind,,,master,456d68622503bc964d19e5bb845d84a204281ea7,562,rrnewton pts/0      ,,,
bfs_lvish,none,misI_work grid 300000 10.0,chert,chert_1373558168,3,2013-07-11 17:00:21.783105 UTC,1.161699,1.172092,1.231672,Just (-139.0625),Just (-131.25),Just (-120.3125),1.161699 1.231672 1.172092,3,,,,[[]],0.0,,Linux chert.soic.ind,,,master,456d68622503bc964d19e5bb845d84a204281ea7,562,rrnewton pts/0      ,,,
bfs_lvish,none,misI_work grid 200000 20.0,chert,chert_1373558168,2,2013-07-11 17:02:33.529337 UTC,1.124399,1.137753,1.17951,Just (-72.5),Just (-76.19047619047618),Just (-71.73913043478262),1.17951 1.124399 1.137753,3,,,,[[]],0.0,,Linux chert.soic.ind,,,master,456d68622503bc964d19e5bb845d84a204281ea7,562,rrnewton pts/0      ,,,
bfs_lvish,none,misI_barrier_work grid 600000 0.0,chert,chert_1373558168,2,2013-07-11 17:05:13.714576 UTC,1.526412,1.538571,1.543285,Just (-28.73563218390808),Just (-29.213483146067404),Just (-26.966292134831434),1.526412 1.543285 1.538571,3,,,,[[]],0.0,,Linux chert.soic.ind,,,master,456d68622503bc964d19e5bb845d84a204281ea7,562,rrnewton pts/0      ,,,
bfs_lvish,none,misI_barrier_work rmat 545455 1.0,chert,chert_1373558168,1,2013-07-11 17:05:47.257421 UTC,4.126318,4.131806,4.239815,Just 7.109004739336484,Just 8.530805687203795,Just 9.174311926605512,4.126318 4.239815 4.131806,3,,,,[[]],0.0,,Linux chert.soic.ind,,,master,456d68622503bc964d19e5bb845d84a204281ea7,562,rrnewton pts/0      ,,,
bfs_lvish,none,misI_barrier_work grid 545455 1.0,chert,chert_1373558168,1,2013-07-11 17:06:35.866802 UTC,2.223357,2.223639,2.224138,Just 8.264462809917347,Just 6.666666666666657,Just 9.166666666666657,2.224138 2.223357 2.223639,3,,,,[[]],0.0,,Linux chert.soic.ind,,,master,456d68622503bc964d19e5bb845d84a204281ea7,562,rrnewton pts/0      ,,,
bfs_lvish,none,misI_barrier_work grid 500000 2.0,chert,chert_1373558168,4,2013-07-11 17:08:12.514624 UTC,1.181691,1.185387,1.220992,Just (-143.93939393939394),Just (-134.84848484848487),Just (-137.14285714285714),1.185387 1.220992 1.181691,3,,,,[[]],0.0,,Linux chert.soic.ind,,,master,456d68622503bc964d19e5bb845d84a204281ea7,562,rrnewton pts/0      ,,,
bfs_lvish,none,misI_barrier_work grid 300000 10.0,chert,chert_1373558168,1,2013-07-11 17:10:23.245534 UTC,2.021653,2.021827,2.025575,Just 9.090909090909093,Just 7.462686567164184,Just 6.060606060606062,2.021827 2.021653 2.025575,3,,,,[[]],0.0,,Linux chert.soic.ind,,,master,456d68622503bc964d19e5bb845d84a204281ea7,562,rrnewton pts/0      ,,,
bfs_lvish,none,misI_barrier_work grid 240000 15.0,chert,chert_1373558168,3,2013-07-11 17:11:43.0779 UTC,0.885024,0.885769,0.901547,Just (-221.2121212121212),Just (-218.1818181818182),Just (-235.29411764705878),0.885769 0.885024 0.901547,3,,,,[[]],0.0,,Linux chert.soic.ind,,,master,456d68622503bc964d19e5bb845d84a204281ea7,562,rrnewton pts/0      ,,,
bfs_lvish,none,bfsN_work rmat 545455 1.0,chert,chert_1373558168,1,2013-07-11 17:17:25.276737 UTC,9.332721,9.350124,9.360113,Just 8.19935691318328,Just 8.360128617363344,Just 8.799999999999997,9.350124 9.332721 9.360113,3,,,,[[]],0.0,,Linux chert.soic.ind,,,master,456d68622503bc964d19e5bb845d84a204281ea7,562,rrnewton pts/0      ,,,
bfs_lvish,none,bfsN_work grid 500000 2.0,chert,chert_1373558168,2,2013-07-11 17:21:48.930664 UTC,4.228419,4.260745,4.260788,Just (-26.04501607717043),Just (-25.641025641025635),Just (-23.322683706070293),4.260745 4.228419 4.260788,3,,,,[[]],0.0,,Linux chert.soic.ind,,,master,456d68622503bc964d19e5bb845d84a204281ea7,562,rrnewton pts/0      ,,,
bfs_lvish,none,bfsN_work rmat 400000 5.0,chert,chert_1373558168,2,2013-07-11 17:23:07.934025 UTC,5.855642,5.876783,5.878258,Just (-47.72727272727272),Just (-48.98989898989902),Just (-47.607052896725435),5.876783 5.878258 5.855642,3,,,,[[]],0.0,,Linux chert.soic.ind,,,master,456d68622503bc964d19e5bb845d84a204281ea7,562,rrnewton pts/0      ,,,
bfs_lvish,none,bfsN_work grid 400000 5.0,chert,chert_1373558168,1,2013-07-11 17:24:04.143007 UTC,6.232556,6.23421,6.251094,Just 8.108108108108098,Just 11.676646706586808,Just 11.34328358208954,6.251094 6.232556 6.23421,3,,,,[[]],0.0,,Linux chert.soic.ind,,,master,456d68622503bc964d19e5bb845d84a204281ea7,562,rrnewton pts/0      ,,,
